"","timestamp","company","title","location","totalyearlycompensation","yearsofexperience","yearsatcompany","tag","basesalary","stockgrantvalue","bonus","gender","otherdetails","Masters_Degree","Bachelors_Degree","Doctorate_Degree","Highschool","Some_College","Race_Asian","Race_White","Race_Two_Or_More","Race_Black","Race_Hispanic","Race","Education","city","state"
"1","2020-1","google","Software Engineer","Sunnyvale, CA",400000,5,5,"Distributed Systems (Back-End)",210000,145000,45000,"Male","Asian - PhD",0,0,1,0,0,1,0,0,0,0,"Asian","PhD","Sunnyvale"," CA"
"2","2020-7","microsoft","Software Engineer","Redmond, WA",136000,3,2,"DevOps",124000,1000,11000,"Male","Race: Two or More Races, Academic Level: Bachelor’s degree",0,1,0,0,0,0,0,1,0,0,"Two Or More","Bachelor's Degree","Redmond"," WA"
"3","2020-7","google","Software Engineer","San Bruno, CA",337000,6,6,"Full Stack",177000,125000,36000,"Male","Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","San Bruno"," CA"
"4","2020-7","microsoft","Software Engineer","Seattle, WA",222000,4,4,"API Development (Back-End)",164000,38000,20000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Seattle"," WA"
"5","2020-7","amazon","Software Engineer","Seattle, WA",310000,15,3,"ML / AI",160000,150000,0,"Male","Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","Seattle"," WA"
"6","2020-7","amazon","Software Engineering Manager","Seattle, WA",620000,19,7,"Full Stack",160000,460000,0,"Male","Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","Seattle"," WA"
"7","2020-7","amazon","Software Engineer","Seattle, WA",210000,4,1,"Site Reliability (SRE)",150000,60000,0,"Male","Race: Hispanic / Latino, Academic Level: High school or equivalent",0,0,0,1,0,0,0,0,0,1,"Hispanic","Highschool","Seattle"," WA"
"8","2020-7","amazon","Software Engineer","Tempe, AZ",142000,0,0,"Full Stack",112000,4000,26000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Tempe"," AZ"
"9","2020-7","intel","Software Engineer","Santa Clara, CA",129000,6,4,"Performance",114000,15000,0,"Male","Race: Two or More Races, Academic Level: Master’s degree",1,0,0,0,0,0,0,1,0,0,"Two Or More","Master's Degree","Santa Clara"," CA"
"10","2020-7","facebook","Software Engineer","Menlo Park, CA",242000,2,2,"ML / AI",167000,75000,0,"Male","Race: White, Academic Level: Master’s degree",1,0,0,0,0,0,1,0,0,0,"White","Master's Degree","Menlo Park"," CA"
"11","2020-7","microsoft","Software Engineer","Seattle, WA",135000,1,0,"Networking",110000,14000,10000,"Female","Race: Hispanic / Latino, Academic Level: Bachelor’s degree",0,1,0,0,0,0,0,0,0,1,"Hispanic","Bachelor's Degree","Seattle"," WA"
"12","2020-7","microsoft","Software Engineer","Redmond, WA",173000,10,2,"ML / AI",153000,9000,10000,"Male","Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","Redmond"," WA"
"13","2020-7","intel","Hardware Engineer","San Jose, CA",134000,6,6,"Application Engineer",130000,4000,0,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","San Jose"," CA"
"14","2020-7","microsoft","Software Engineer","San Francisco, CA",328000,12,0,"Mixed reality",215000,63000,50000,"Male","Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","San Francisco"," CA"
"15","2020-7","facebook","Software Engineering Manager","Menlo Park, CA",309000,14,2,"DevOps",201000,68000,40000,"Male","Race: Two or More Races, Academic Level: Master’s degree",1,0,0,0,0,0,0,1,0,0,"Two Or More","Master's Degree","Menlo Park"," CA"
"16","2020-7","facebook","Software Engineer","Menlo Park, CA",255000,6,2,"ML / AI",160000,75000,16000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Menlo Park"," CA"
"17","2020-7","apple","Product Manager","Cupertino, CA",309000,10,1,"Video",220000,56000,33000,"Male","Race: Hispanic / Latino, Academic Level: Bachelor’s degree",0,1,0,0,0,0,0,0,0,1,"Hispanic","Bachelor's Degree","Cupertino"," CA"
"18","2020-7","amazon","Software Engineer","Seattle, WA",189000,2,0,"Android",135000,6000,49000,"Male","Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","Seattle"," WA"
"19","2020-7","amazon","Product Manager","Seattle, WA",347000,18,3,"Cloud",150000,193000,0,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Seattle"," WA"
"20","2020-7","amazon","Software Engineer","Boston, MA",550000,10,6,"Distributed Systems (Back-End)",160000,390000,0,"Male","Race: White, Academic Level: Doctorate (PhD)",0,0,1,0,0,0,1,0,0,0,"White","PhD","Boston"," MA"
"21","2020-7","facebook","Software Engineer","New York, NY",272000,2,0,"Generalist",165000,90000,17000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","New York"," NY"
"22","2020-7","facebook","Software Engineer","Seattle, WA",272000,5,0,"VR",165000,90000,17000,"Other","Race: White, Academic Level: Bachelor’s degree",0,1,0,0,0,0,1,0,0,0,"White","Bachelor's Degree","Seattle"," WA"
"23","2020-7","apple","Software Engineer","Santa Clara, CA",162000,0,0,"ML / AI",130000,32000,0,"Female","30k sign o, Race: White, Academic Level: Bachelor’s degree",0,1,0,0,0,0,1,0,0,0,"White","Bachelor's Degree","Santa Clara"," CA"
"24","2020-7","amazon","Software Engineer","Arlington, VA",252000,4,0,"Full Stack",160000,82000,10000,"Male","Remote, Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","Arlington"," VA"
"25","2020-7","amazon","Solution Architect","Claremont, CA",181000,10,2,"DevOps",180000,1000,0,"Male","Remote, Race: Black or African American, Academic Level: Bachelor’s degree",0,1,0,0,0,0,0,0,1,0,"Black","Bachelor's Degree","Claremont"," CA"
"26","2020-7","oracle","Software Engineer","Broomfield, CO",176000,0,0,"iOS",120000,36000,20000,"Female","Race: White, Academic Level: Bachelor’s degree",0,1,0,0,0,0,1,0,0,0,"White","Bachelor's Degree","Broomfield"," CO"
"27","2020-7","google","Software Engineer","Mountain View, CA",289000,6,1,"Distributed Systems (Back-End)",163000,100000,24000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Mountain View"," CA"
"28","2020-7","facebook","Software Engineer","Menlo Park, CA",334000,11,3,"Full Stack",191000,114000,29000,"Male","Race: Hispanic / Latino, Academic Level: Master’s degree",1,0,0,0,0,0,0,0,0,1,"Hispanic","Master's Degree","Menlo Park"," CA"
"29","2020-7","microsoft","Software Engineering Manager","Bellevue, WA",441000,13,9,"ML / AI",185000,190000,66000,"Other","Race: White, Academic Level: Master’s degree",1,0,0,0,0,0,1,0,0,0,"White","Master's Degree","Bellevue"," WA"
"30","2020-7","uber","Sales","Chicago, IL",370000,15,1,"iOS",210000,118000,42000,"Male","Race: White, Academic Level: Bachelor’s degree",0,1,0,0,0,0,1,0,0,0,"White","Bachelor's Degree","Chicago"," IL"
"31","2020-7","vmware","Technical Program Manager","Austin, TX",175000,16,3,"Business Operations",150000,0,25000,"Female","Remote, Race: White, Academic Level: Bachelor’s degree",0,1,0,0,0,0,1,0,0,0,"White","Bachelor's Degree","Austin"," TX"
"32","2020-7","bloomberg","Software Engineer","New York, NY",165000,3,1,"Full Stack",142000,0,18000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","New York"," NY"
"33","2020-7","linkedin","Software Engineer","Sunnyvale, CA",215000,6,0,"API Development (Back-End)",150000,50000,15000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Sunnyvale"," CA"
"34","2020-7","deloitte","Management Consultant","Costa Mesa, CA",90000,0,0,"Software Development",86000,0,4000,"Male","Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","Costa Mesa"," CA"
"35","2020-7","intel","Hardware Engineer","Austin, TX",125000,7,5,"Senior Design Verification Engineer",110000,6000,9000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Austin"," TX"
"36","2020-7","microsoft","Software Engineer","Seattle, WA",227000,6,0,"Distributed Systems (Back-End)",150000,62000,15000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Seattle"," WA"
"37","2020-7","google","Software Engineer","Mountain View, CA",354000,12,12,"Data Analytics Infra",183000,134000,37000,"Male","Race: Asian, Academic Level: Doctorate (PhD)",0,0,1,0,0,1,0,0,0,0,"Asian","PhD","Mountain View"," CA"
"38","2020-7","microsoft","Software Engineer","Redmond, WA",156000,7,7,"Distributed Systems (Back-End)",140000,11000,5000,"Female","Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","Redmond"," WA"
"39","2020-7","ibm","Solution Architect","Los Angeles, CA",157000,13,1,"DevOps",150000,0,7000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Los Angeles"," CA"
"40","2020-7","ibm","Software Engineer","Littleton, MA",194000,13,13,"Distributed Systems (Back-End)",194000,0,0,"Male","Race: Asian, Academic Level: Bachelor’s degree",0,1,0,0,0,1,0,0,0,0,"Asian","Bachelor's Degree","Littleton"," MA"
"41","2020-7","microsoft","Software Engineer","Redmond, WA",167000,6,3,"Distributed Systems (Back-End)",137000,9000,21000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Redmond"," WA"
"42","2020-7","microsoft","Hardware Engineer","Sunnyvale, CA",188000,4,1,"DV",147000,19000,22000,"Female","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Sunnyvale"," CA"
"43","2020-7","amazon","Software Engineer","Seattle, WA",215000,3,1,"Web Development (Front-End)",145000,40000,30000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Seattle"," WA"
"44","2020-7","apple","Hardware Engineer","Cupertino, CA",202000,3,2,"Camera Hardware Engineering",130000,60000,12000,"Male","Race: White, Academic Level: Bachelor’s degree",0,1,0,0,0,0,1,0,0,0,"White","Bachelor's Degree","Cupertino"," CA"
"45","2020-7","facebook","Software Engineer","Menlo Park, CA",185000,0,0,"Full Stack",123000,37000,25000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Menlo Park"," CA"
"46","2020-7","amazon","Technical Program Manager","Seattle, WA",300000,16,4,"Distributed Systems (Back-End)",160000,140000,0,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Seattle"," WA"
"47","2020-7","google","Technical Program Manager","Mountain View, CA",247000,3,0,"Full Stack",150000,75000,23000,"Male","Race: White, Academic Level: Bachelor’s degree",0,1,0,0,0,0,1,0,0,0,"White","Bachelor's Degree","Mountain View"," CA"
"48","2020-7","google","Data Scientist","San Francisco, CA",170000,3,3,"ML / AI",170000,0,0,"Male","Race: White, Academic Level: Bachelor’s degree",0,1,0,0,0,0,1,0,0,0,"White","Bachelor's Degree","San Francisco"," CA"
"49","2020-7","bloomberg","Software Engineer","New York, NY",165000,0,0,"Security",145000,0,20000,"Male","Race: Black or African American, Academic Level: Bachelor’s degree",0,1,0,0,0,0,0,0,1,0,"Black","Bachelor's Degree","New York"," NY"
"50","2020-7","facebook","Data Scientist","Menlo Park, CA",205000,0,0,"Product analytics",150000,40000,15000,"Female","Race: Asian, Academic Level: Doctorate (PhD)",0,0,1,0,0,1,0,0,0,0,"Asian","PhD","Menlo Park"," CA"
"51","2020-7","deloitte","Management Consultant","Austin, TX",180000,10,1,"M&A",150000,0,30000,"Female","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Austin"," TX"
"52","2020-7","deloitte","Management Consultant","Austin, TX",180000,10,1,"M&A",150000,0,30000,"Female","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Austin"," TX"
"53","2020-7","google","Software Engineer","Mountain View, CA",275000,3,3,"ML / AI",148000,26000,101000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Mountain View"," CA"
"54","2020-7","microsoft","Data Scientist","Bellevue, WA",220000,4,2,"Data science",150000,60000,10000,"Male","Race: White, Academic Level: Doctorate (PhD)",0,0,1,0,0,0,1,0,0,0,"White","PhD","Bellevue"," WA"
"55","2020-7","facebook","Software Engineering Manager","Seattle, WA",855000,15,0,"Full Stack",280000,500000,75000,"Male","Race: Asian, Academic Level: Master’s degree",1,0,0,0,0,1,0,0,0,0,"Asian","Master's Degree","Seattle"," WA"
